Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h
08/09/2000,20:15:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,20:30:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,20:45:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,21:00:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,21:15:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,21:30:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,21:45:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,22:00:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,22:15:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,22:30:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,22:45:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,23:00:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,23:15:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,23:30:00,nan,0.0,0.0,0.0,0.0,0.0

08/09/2000,23:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,00:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,00:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,00:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,00:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,01:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,01:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,01:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,01:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,02:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,02:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,02:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,02:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,03:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,03:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,03:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,03:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,04:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,04:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,04:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,04:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,05:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,05:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,05:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,05:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,06:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,06:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,06:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,06:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,07:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,07:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,07:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,07:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,08:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,08:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,08:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,08:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,09:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,09:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,09:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,09:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,10:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,10:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,10:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,10:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,11:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,11:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,11:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,11:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,12:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,12:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,12:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,12:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,13:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,13:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,13:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,13:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,14:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,14:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,14:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,14:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,15:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,15:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,15:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,15:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,16:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,16:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,16:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,16:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,17:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,17:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,17:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,17:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,18:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,18:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,18:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,18:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,19:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,19:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,19:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,19:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,20:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,20:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,20:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,20:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,21:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,21:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,21:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,21:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,22:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,22:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,22:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,22:45:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,23:00:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,23:15:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,23:30:00,nan,0.0,0.0,0.0,0.0,0.0

09/09/2000,23:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,00:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,00:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,00:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,00:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,01:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,01:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,01:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,01:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,02:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,02:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,02:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,02:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,03:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,03:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,03:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,03:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,04:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,04:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,04:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,04:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,05:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,05:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,05:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,05:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,06:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,06:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,06:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,06:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,07:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,07:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,07:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,07:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,08:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,08:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,08:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,08:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,09:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,09:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,09:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,09:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,10:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,10:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,10:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,10:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,11:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,11:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,11:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,11:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,12:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,12:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,12:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,12:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,13:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,13:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,13:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,13:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,14:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,14:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,14:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,14:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,15:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,15:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,15:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,15:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,16:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,16:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,16:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,16:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,17:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,17:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,17:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,17:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,18:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,18:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,18:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,18:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,19:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,19:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,19:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,19:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,20:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,20:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,20:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,20:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,21:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,21:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,21:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,21:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,22:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,22:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,22:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,22:45:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,23:00:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,23:15:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,23:30:00,nan,0.0,0.0,0.0,0.0,0.0

10/09/2000,23:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,00:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,00:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,00:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,00:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,01:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,01:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,01:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,01:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,02:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,02:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,02:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,02:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,03:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,03:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,03:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,03:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,04:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,04:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,04:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,04:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,05:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,05:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,05:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,05:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,06:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,06:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,06:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,06:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,07:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,07:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,07:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,07:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,08:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,08:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,08:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,08:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,09:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,09:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,09:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,09:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,10:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,10:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,10:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,10:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,11:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,11:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,11:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,11:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,12:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,12:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,12:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,12:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,13:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,13:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,13:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,13:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,14:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,14:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,14:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,14:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,15:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,15:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,15:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,15:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,16:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,16:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,16:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,16:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,17:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,17:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,17:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,17:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,18:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,18:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,18:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,18:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,19:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,19:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,19:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,19:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,20:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,20:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,20:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,20:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,21:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,21:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,21:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,21:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,22:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,22:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,22:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,22:45:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,23:00:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,23:15:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,23:30:00,nan,0.0,0.0,0.0,0.0,0.0

11/09/2000,23:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,00:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,00:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,00:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,00:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,01:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,01:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,01:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,01:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,02:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,02:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,02:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,02:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,03:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,03:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,03:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,03:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,04:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,04:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,04:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,04:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,05:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,05:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,05:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,05:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,06:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,06:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,06:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,06:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,07:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,07:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,07:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,07:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,08:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,08:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,08:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,08:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,09:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,09:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,09:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,09:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,10:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,10:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,10:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,10:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,11:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,11:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,11:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,11:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,12:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,12:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,12:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,12:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,13:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,13:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,13:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,13:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,14:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,14:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,14:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,14:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,15:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,15:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,15:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,15:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,16:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,16:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,16:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,16:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,17:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,17:15:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,17:30:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,17:45:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,18:00:00,nan,0.0,0.0,0.0,0.0,0.0

12/09/2000,18:15:00,nan,0.0,0.0,0.0,0.0,0.0

